tweet_id,date,location,symptoms
1201937569816158208,2019-12-03,"Illinois, USA",cough
1201860842683338752,2019-12-03,"Illinois, USA",cough
1201692924645433088,2019-12-03,"Illinois, USA",cough
1201994704151290112,2019-12-03,"Illinois, USA",fever
1201701451921317888,2019-12-03,"Illinois, USA",fever
1201926715053920512,2019-12-03,"Indiana, USA",cough
1201922439703384064,2019-12-03,"Indiana, USA",cough
1201672524980994048,2019-12-03,"Indiana, USA",fever
1201932867737182208,2019-12-03,"Louisiana, USA",fever
1201896047871741952,2019-12-03,"Louisiana, USA",fever
1201694718649946112,2019-12-03,"Louisiana, USA",fever
1201823242538930176,2019-12-03,"Maryland, USA",cough
1201909519862976512,2019-12-03,"Maryland, USA",fever
1201898903676866560,2019-12-03,"Massachusetts, USA",cough
1201991334644633600,2019-12-03,"Michigan, USA",cough
1201899813928886272,2019-12-03,"Michigan, USA",cough
1201741607831310336,2019-12-03,"Michigan, USA",fever
1201706684516880384,2019-12-03,"Michigan, USA",fever
1201969180704198912,2019-12-03,"Missouri, USA",cough
1201896266420162560,2019-12-03,"Missouri, USA",fever
1201839819149791232,2019-12-03,"Missouri, USA",fever
1201721434088698112,2019-12-03,"Nevada, USA","fever, cough"
1201657301112967168,2019-12-03,"New_Jersey, USA",fever
1201949792156504064,2019-12-03,"New_York, USA",cough
1201920971772485632,2019-12-03,"New_York, USA",cough
1201902125200089088,2019-12-03,"New_York, USA",cough
1201855215013683200,2019-12-03,"New_York, USA",cough
1201809575479037952,2019-12-03,"New_York, USA",cough
1202006278572322816,2019-12-03,"New_York, USA",fever
1201989063588425728,2019-12-03,"New_York, USA",fever
1201913285353840640,2019-12-03,"New_York, USA",fever
1201895711614394368,2019-12-03,"New_York, USA",fever
1201704787257036800,2019-12-03,"New_York, USA",fever
1201676506755457024,2019-12-03,"New_York, USA",fever
1201658726282924032,2019-12-03,"New_York, USA",fever
1201976454386536448,2019-12-03,"North_Carolina, USA",cough
1201875977107918848,2019-12-03,"North_Carolina, USA",cough
1201933332289732608,2019-12-03,"Ohio, USA",cough
1201937305151381504,2019-12-03,"Ohio, USA",fever
1201684356743467008,2019-12-03,"Ohio, USA",fever
1201680685725028352,2019-12-03,"Ohio, USA",fever
1202005206218788864,2019-12-03,"Oklahoma, USA",fever
1201980269311381504,2019-12-03,"Oregon, USA",cough
1201732220513206272,2019-12-03,"Oregon, USA",fever
1201743760008331264,2019-12-03,"Pennsylvania, USA",cough
1201959233731862528,2019-12-03,"Pennsylvania, USA",fever
1201983356185001984,2019-12-03,"South_Carolina, USA",cough
1201946351426318336,2019-12-03,"South_Carolina, USA",cough
1201914115385630720,2019-12-03,"South_Carolina, USA",cough
1201700841612296192,2019-12-03,"Tennessee, USA",cough
1201976048008749056,2019-12-03,"Texas, USA",cough
1201930380347088896,2019-12-03,"Texas, USA",cough
1201888070439751680,2019-12-03,"Texas, USA",cough
1201873298063331328,2019-12-03,"Texas, USA",cough
1201737757883801600,2019-12-03,"Texas, USA",cough
1201726161476313088,2019-12-03,"Texas, USA",cough
1201664188390748160,2019-12-03,"Texas, USA",cough
1201661153014878208,2019-12-03,"Texas, USA",cough
1201978932117037056,2019-12-03,"Texas, USA",fever
1201977103207587840,2019-12-03,"Texas, USA",fever
1201968615123279872,2019-12-03,"Texas, USA",fever
1201919847053041664,2019-12-03,"Texas, USA",fever
1201880599541276672,2019-12-03,"Texas, USA",fever
1201749782299103232,2019-12-03,"Texas, USA",fever
1201709400223817728,2019-12-03,"Texas, USA",fever
1201658664106393600,2019-12-03,"Texas, USA",fever
1201925866067873792,2019-12-03,"Utah, USA",cough
1201670455767126016,2019-12-03,"Utah, USA",cough
1202008919746449408,2019-12-03,"Washington, DC",cough
1202001136313655296,2019-12-03,"Washington, DC",cough
1201904236373651712,2019-12-03,"Washington, DC",fever
1201996386280992768,2019-12-03,"Washington, USA",fever
1201670027872788480,2019-12-03,"Wisconsin, USA",cough
1201708849536937984,2019-12-03,"Wisconsin, USA",fever
1202221769412603904,2019-12-04,"Arizona, USA",cough
1202071737136906240,2019-12-04,"Arizona, USA",fever
1202048157883850752,2019-12-04,"Arizona, USA",fever
1202367135915397120,2019-12-04,"Arkansas, USA",cough
1202087381807042560,2019-12-04,"Arkansas, USA",cough
1202347050836185088,2019-12-04,"California, USA",cough
1202345914532155392,2019-12-04,"California, USA",cough
1202309760944488448,2019-12-04,"California, USA",cough
1202298436684374016,2019-12-04,"California, USA",cough
1202277020584964096,2019-12-04,"California, USA",cough
1202252847590432768,2019-12-04,"California, USA",cough
1202194168585441280,2019-12-04,"California, USA",cough
1202190086994944000,2019-12-04,"California, USA",cough
1202140943668789248,2019-12-04,"California, USA",cough
1202135305853104128,2019-12-04,"California, USA",cough
1202133567779696640,2019-12-04,"California, USA",cough
1202118841716752384,2019-12-04,"California, USA",cough
1202102600885293056,2019-12-04,"California, USA",cough
1202098529679945728,2019-12-04,"California, USA",cough
1202083411692638208,2019-12-04,"California, USA",cough
1202050706431078400,2019-12-04,"California, USA",cough
1202037512580894720,2019-12-04,"California, USA",cough
1202033117013266432,2019-12-04,"California, USA",cough
1202329367457583104,2019-12-04,"California, USA",fever
1202235126115028992,2019-12-04,"California, USA",fever
1202210390110683136,2019-12-04,"California, USA",fever
1202136190901719040,2019-12-04,"California, USA",fever
1202122097289383936,2019-12-04,"California, USA",fever
1202104845752098816,2019-12-04,"California, USA",fever
1202102743567151104,2019-12-04,"California, USA",fever
1202085494802255872,2019-12-04,"California, USA",fever
1202081741264998400,2019-12-04,"California, USA",fever
1202074489757896704,2019-12-04,"California, USA",fever
1202065017299816448,2019-12-04,"California, USA",fever
1202048650374856704,2019-12-04,"California, USA",fever
1202042964303679488,2019-12-04,"California, USA",fever
1202039952382595072,2019-12-04,"California, USA",fever
1202245843727847424,2019-12-04,"Colorado, USA",cough
1202105686861107200,2019-12-04,"Colorado, USA",cough
1202357579759964160,2019-12-04,"Connecticut, USA",cough
1202292712399093760,2019-12-04,"Florida, USA",cough
1202355906933121024,2019-12-04,"Florida, USA",fever
1202277091514949632,2019-12-04,"Florida, USA",fever
1202232495489466368,2019-12-04,"Georgia, USA",cough
1202183544145141760,2019-12-04,"Georgia, USA",cough
1202027134719381504,2019-12-04,"Georgia, USA",cough
1202163382561976320,2019-12-04,"Georgia, USA",fever
1202159301403512832,2019-12-04,"Georgia, USA",fever
1202056713895055360,2019-12-04,"Georgia, USA",fever
1202215258435280896,2019-12-04,"Illinois, USA",cough
1202338697703755776,2019-12-04,"Illinois, USA",fever
1202291305642123264,2019-12-04,"Illinois, USA",fever
1202290026857537536,2019-12-04,"Illinois, USA",fever
1202066054035492864,2019-12-04,"Indiana, USA",fever
1202345387094421504,2019-12-04,"Kansas, USA",cough
1202110156991012864,2019-12-04,"Louisiana, USA",fever
1202041605441626112,2019-12-04,"Louisiana, USA",fever
1202019337122521088,2019-12-04,"Louisiana, USA",fever
1202304081148157952,2019-12-04,"Michigan, USA",fever
1202294141872418816,2019-12-04,"Michigan, USA",fever
1202268985355624448,2019-12-04,"Michigan, USA",fever
1202030231432892416,2019-12-04,"Michigan, USA",fever
1202275913695547392,2019-12-04,"Nevada, USA",fever
1202065060417269760,2019-12-04,"Nevada, USA",fever
1202048331632873472,2019-12-04,"New_Mexico, USA",fever
1202320749127782400,2019-12-04,"New_York, USA",cough
1202312812678336512,2019-12-04,"New_York, USA",cough
1202113333027057664,2019-12-04,"New_York, USA",cough
1202051355227111424,2019-12-04,"New_York, USA",cough
1202034325266587648,2019-12-04,"New_York, USA",cough
1202278643784921088,2019-12-04,"New_York, USA",fever
1202049558806716416,2019-12-04,"New_York, USA",fever
1202281675729887232,2019-12-04,"North_Carolina, USA",cough
1202033259477123072,2019-12-04,"North_Carolina, USA",cough
1202259186530299904,2019-12-04,"Ohio, USA",cough
1202145469863825408,2019-12-04,"Oregon, USA",cough
1202044618415566848,2019-12-04,"Oregon, USA",cough
1202370092111056896,2019-12-04,"Oregon, USA",fever
1202320124700590080,2019-12-04,"Oregon, USA",fever
1202282869684498432,2019-12-04,"Oregon, USA",fever
1202347748844068864,2019-12-04,"Pennsylvania, USA",fever
1202205480493424640,2019-12-04,"Pennsylvania, USA",fever
1202334214605230080,2019-12-04,"South_Carolina, USA",fever
1202053638820114432,2019-12-04,"Tennessee, USA",fever
1202344062214213632,2019-12-04,"Texas, USA",cough
1202306928283705088,2019-12-04,"Texas, USA",cough
1202278325445632000,2019-12-04,"Texas, USA",cough
1202273161833787392,2019-12-04,"Texas, USA",cough
1202272664020226048,2019-12-04,"Texas, USA",cough
1202222324537270272,2019-12-04,"Texas, USA",cough
1202071543444070400,2019-12-04,"Texas, USA",cough
1202045046880686080,2019-12-04,"Texas, USA",cough
1202375738458091520,2019-12-04,"Texas, USA",fever
1202366176434765824,2019-12-04,"Texas, USA",fever
1202356211351465984,2019-12-04,"Texas, USA",fever
1202322018739400704,2019-12-04,"Texas, USA","fever, cough"
1202320695012810752,2019-12-04,"Texas, USA",fever
